ASGS code,Location,Estimated resident population,Deaths,Standardised death rate
106031120,Lemon Tree Passage - Tanilba Bay,"6,935",81,6.5
106031121,Nelson Bay Peninsula,"21,968",289,5
106031122,Raymond Terrace,"14,915",119,5.9
106031123,Seaham - Woodville,"5,743",16,np
106031124,Tea Gardens - Hawks Nest,"5,792",117,np
106031125,Williamtown - Medowie - Karuah,"15,566",87,4.4
10603,Port Stephens,"77,510",764,5.1
106041126,Muswellbrook,"12,417",83,6.4
106041127,Muswellbrook Surrounds,"4,123",46,np
106041128,Scone,"6,040",79,7
106041129,Scone Surrounds,"8,251",77,5.3
10604,Upper Hunter,"30,831",285,6.2
106,Hunter Valley exc Newcastle,"299,577","2,472",5.6
107011131,Dapto - Avondale,"24,451",249,5.8
107011132,Horsley - Kembla Grange,"12,990",67,6.2
107011133,Port Kembla Industrial,7,0,np
107011134,Unanderra - Mount Kembla,"15,237",182,6.8
107011545,Berkeley - Lake Heights - Cringila,"14,141",118,5.7
107011546,Port Kembla - Warrawong,"9,652",134,6.9
107011547,Windang - Primbee,"4,195",55,np
10701,Dapto - Port Kembla,"80,673",805,6.1
107021135,Illawarra Catchment Reserve,5,0,np
10702,Illawarra Catchment Reserve,5,0,np
107031136,Albion Park - Macquarie Pass,"20,634",129,5.8
107031137,Albion Park Rail,"6,880",107,8.4
107031138,Kiama,"8,846",97,3.9
107031139,Kiama Downs - Minnamurra,"5,960",38,3.6
107031140,Kiama Hinterland - Gerringong,"8,058",82,4.7
107031141,Shellharbour - Flinders,"19,815",101,4.7
107031142,Shellharbour - Oak Flats,"10,655",106,5.4
107031143,Warilla,"20,348",200,5.9
10703,Kiama - Shellharbour,"101,196",860,5.2
107041144,Balgownie - Fairy Meadow,"21,572",177,4.7
107041145,Corrimal - Tarrawanna - Bellambi,"16,111",146,6
107041146,Figtree - Keiraville,"23,017",183,5.1
107041147,Helensburgh,"9,088",88,6.9
107041148,Thirroul - Austinmer - Coalcliff,"11,945",54,4
107041150,Woonona - Bulli - Russell Vale,"20,622",232,6.4
107041548,Wollongong - East,"16,678",139,5
107041549,Wollongong - West,"16,754",102,5.2
10704,Wollongong,"135,787","1,121",5.3
107,Illawarra,"317,661","2,786",5.5
108011151,Bulahdelah - Stroud,"5,284",71,6.3
108011152,Forster,"14,657",254,5.8
108011153,Forster-Tuncurry Surrounds,"7,067",45,4.3
108011154,Tuncurry,"6,351",210,8.8
10801,Great Lakes,"33,359",580,6.3
108021155,Kempsey,"16,044",238,8.2
108021156,Kempsey Surrounds,"9,515",56,5
108021157,Macksville - Scotts Head,"5,280",78,5.7
108021158,Nambucca Heads,"7,153",139,7.6
108021159,Nambucca Heads Surrounds,"8,177",54,4.8
108021160,South West Rocks,"5,683",66,5.6
10802,Kempsey - Nambucca,"51,852",631,6.4
108031161,Lord Howe Island,450,0,np
10803,Lord Howe Island,450,0,np
108041162,Laurieton - Bonny Hills,"18,657",265,4.9
108041164,Port Macquarie - West,"22,031",358,6.4
108041165,Port Macquarie Surrounds,"5,311",30,4.9
108041166,Wauchope,"13,094",128,5.2
108041619,Port Macquarie - East,"11,857",63,3.6
108041620,Port Macquarie - South,"17,335",256,5.3
10804,Port Macquarie,"88,285","1,100",5.3
108051167,Gloucester,"5,310",54,4.8
108051168,Old Bar - Manning Point - Red Head,"12,708",124,4.6
108051169,Taree,"21,316",351,7.2
108051170,Taree Surrounds,"13,236",122,4.4
108051171,Wingham,"5,382",61,7.4
10805,Taree - Gloucester,"57,952",712,5.8
108,Mid North Coast,"231,898","3,023",5.8
109011172,Albury - East,"18,479",149,5.6
109011173,Albury - North,"10,506",96,6.8
109011174,Albury - South,"10,445",152,7.7
109011175,Albury Surrounds,"12,697",104,5.4
109011176,Lavington,"15,614",145,6.2
10901,Albury,"67,741",646,6.2
109021177,Hay,"2,854",36,np
109021178,Wentworth - Buronga,"6,635",67,6.1
109021179,Wentworth-Balranald Region,"3,632",33,6.3
10902,Lower Murray,"13,121",136,6.1
109031180,Corowa,"5,540",88,7.1
109031181,Corowa Surrounds,"7,300",78,5.5
109031182,Deniliquin,"7,032",107,6.7
109031183,Deniliquin Surrounds,"6,836",73,5.5
109031184,Moama,"7,145",81,4.8
109031185,Tocumwal - Finley - Jerilderie,"9,846",143,5.7
10903,Upper Murray exc. Albury,"43,699",570,5.8
109,Murray,"124,561","1,352",6
110011186,Armidale,"24,178",211,5.7
110011187,Armidale Surrounds - North,"4,553",46,6
110011188,Armidale Surrounds - South,"5,899",47,5.8
110011189,Walcha,"3,148",47,6.4
11001,Armidale,"37,778",351,5.7
110021190,Glen Innes,"8,945",117,6
110021191,Inverell,"12,167",150,6.3
110021192,Inverell Surrounds - East,"5,232",55,6.1
110021193,Inverell Surrounds - West,"5,738",80,6.2
110021194,Tenterfield,"6,879",103,6.1
11002,Inverell - Tenterfield,"38,961",505,6.1
110031195,Moree,"8,009",86,7.6
110031196,Moree Surrounds,"5,311",29,4.7
110031197,Narrabri,"6,898",67,7.2
110031198,Narrabri Surrounds,"4,642",44,6.7
11003,Moree - Narrabri,"24,860",226,6.8
110041199,Gunnedah,"9,912",92,6.3
110041200,Gunnedah Surrounds,"4,413",37,5.8
110041201,Quirindi,"7,660",78,5.7
110041202,Tamworth - East,"22,042",135,4.2
110041203,Tamworth - North,"16,693",265,7.1
110041204,Tamworth - West,"6,244",33,7.1
110041205,Tamworth Surrounds,"19,360",167,5.9
11004,Tamworth - Gunnedah,"86,324",807,5.8
110,New England and North West,"187,923","1,889",6
111011206,Belmont - Bennetts Green,"17,760",191,5.4
111011207,Belmont South - Blacksmiths,"5,667",50,5.1
111011208,Charlestown - Dudley,"25,512",196,4.6
111011209,Glendale - Cardiff - Hillsborough,"24,966",202,6
111011210,Mount Hutton - Windale,"9,597",150,9.5
111011211,Redhead,"3,782",71,np
111011212,Swansea - Caves Beach,"12,689",116,4.6
111011213,Valentine - Eleebana,"12,453",79,3.9
111011214,Warners Bay - Boolaroo,"14,898",106,4
11101,Lake Macquarie - East,"127,324","1,161",5.3
111021215,Bolton Point - Teralba,"10,376",168,8.1
111021216,Bonnells Bay - Silverwater,"9,928",66,3.9
111021217,Edgeworth - Cameron Park,"17,007",142,7.6
111021218,Morisset - Cooranbong,"18,687",299,6.1
111021219,Toronto - Awaba,"14,099",194,6.4
111021220,Wangi Wangi - Rathmines,"9,496",53,3.9
111021221,West Wallsend - Barnsley - Killingworth,"7,333",39,5.1
11102,Lake Macquarie - West,"86,926",961,6.1
111031222,Adamstown - Kotara,"16,815",75,3.6
111031223,Beresfield - Hexham,"8,660",83,6.2
111031224,Hamilton - Broadmeadow,"12,856",131,6.4
111031225,Lambton - New Lambton,"17,396",114,4.2
111031226,Maryland - Fletcher - Minmi,"16,951",69,4.7
111031227,Mayfield - Warabrook,"15,674",217,9.3
111031228,Merewether - The Junction,"14,619",99,4.9
111031229,Newcastle - Cooks Hill,"13,305",58,3.4
111031230,Newcastle Port - Kooragang,28,0,np
111031231,Shortland - Jesmond,"12,975",135,8.7
111031232,Stockton - Fullerton Cove,"9,142",96,5.6
111031233,Wallsend - Elermore Vale,"21,137",356,7.9
111031234,Waratah - North Lambton,"12,999",225,9.3
111031235,Wickham - Carrington - Tighes Hill,"9,511",48,5.1
11103,Newcastle,"182,068","1,706",6.3
111,Newcastle and Lake Macquarie,"396,318","3,828",5.9
112011236,Ballina,"18,748",361,6.2
112011237,Ballina Surrounds,"18,611",138,4.5
112011238,Bangalow,"7,125",39,5.4
112011239,Brunswick Heads - Ocean Shores,"9,284",64,4.9
112011240,Byron Bay,"10,911",60,5
112011241,Evans Head,"5,722",41,4.4
112011242,Lennox Head - Skennars Head,"9,392",40,3.5
112011243,Mullumbimby,"9,003",75,5.8
11201,Richmond Valley - Coastal,"88,796",818,5.1
112021244,Casino,"12,344",150,6.3
112021245,Casino Surrounds,"7,453",81,6
112021246,Goonellabah,"13,780",152,6.6
112021247,Kyogle,"7,659",87,5.9
112021248,Lismore,"14,904",154,7.3
112021249,Lismore Surrounds,"15,855",87,4.3
11202,Richmond Valley - Hinterland,"71,995",711,6.1
112031250,Kingscliff - Fingal Head,"14,887",124,4.7
112031251,Murwillumbah,"9,482",141,6
112031252,Murwillumbah Surrounds,"10,463",73,4.3
112031253,Pottsville,"14,225",103,4.5
112031254,Tweed Heads,"20,771",308,6
112031550,Banora Point,"16,367",229,5.3
112031551,Terranora - North Tumbulgum,"3,345",17,np
112031552,Tweed Heads South,"8,429",146,5.9
11203,Tweed Valley,"97,969","1,141",5.3
112,Richmond - Tweed,"258,760","2,670",5.4
113011256,Griffith (NSW),"20,531",183,5.8
113011257,Griffith Surrounds,"12,840",88,5.3
113011258,Leeton,"10,324",91,6.3
113011259,Narrandera,"5,912",86,7.7
11301,Griffith - Murrumbidgee (West),"49,607",448,6.1
113021260,Tumbarumba,"3,517",36,5.6
113021261,Tumut,"6,679",93,7.4
113021262,Tumut Surrounds,"4,750",38,5.8
11302,Tumut - Tumbarumba,"14,946",167,6.4
113031263,Cootamundra,"7,718",100,5.9
113031264,Gundagai,"3,713",30,5.3
113031265,Junee,"6,384",58,5.7
113031266,Temora,"6,570",73,5.8
113031267,Wagga Wagga - East,"16,931",108,4.3
113031268,Wagga Wagga - North,"5,793",32,2.9
113031269,Wagga Wagga - South,"22,919",174,5.9
113031270,Wagga Wagga - West,"11,827",148,7.4
113031271,Wagga Wagga Surrounds,"18,174",131,5.1
11303,Wagga Wagga,"100,029",854,5.5
113,Riverina,"164,582","1,469",5.8
114011272,Berry - Kangaroo Valley,"9,367",117,4.7
114011273,Callala Bay - Currarong,"3,595",36,np
114011274,Culburra Beach,"5,056",52,5.5
114011275,Ettrema - Sassafras - Budawang,62,0,np
114011276,Huskisson - Vincentia,"4,914",32,3.8
114011277,North Nowra - Bomaderry,"16,222",161,5.4
114011278,Nowra,"23,239",281,7.6
114011279,St Georges Basin - Erowal Bay,"15,410",222,6.9
114011280,Sussex Inlet - Berrara,"4,686",71,np
114011281,Tomerong - Wandandian - Woollamia,"3,747",30,np
114011282,Ulladulla,"17,222",199,5.5
114011283,Ulladulla Surrounds,"5,849",41,3.8
11401,Shoalhaven,"109,369","1,242",5.7
114021284,Bowral,"13,509",209,5
114021285,Hill Top - Colo Vale,"6,466",39,5.1
114021286,Mittagong,"11,012",106,5.1
114021287,Moss Vale - Berrima,"10,766",112,5.6
114021288,Robertson - Fitzroy Falls,"3,842",20,np
114021289,Southern Highlands,"7,205",72,4.8
11402,Southern Highlands,"52,800",558,5
114,Southern Highlands and Shoalhaven,"162,169","1,800",5.5
